620,Locality,Country,Latitude,Longitude,Elevation (masl),Garden size (m2),Type,Age of property (years)
ALKEL,Kleinlangheim,Germany ,49.77686000,10.27181100,210,300,rural,20
ALXKL,Pfaffenweiler,Germany ,47.93330,7.75000,252,350,rural,50
AMGBB,Wollongong,Australia,-34.42694444,150.88694444,5,280,urban,16
ANYGG,Rugby,UK,52.36363000,-1.27836000,114,80,urban,1
ARRGB,Diamantina,Brazil,-18.27133800,-43.61472800,1300,8000,rural,2
BBPHI,Falmouth,UK,50.15163500,-5.06790300,35,25,urban,100
BWGRH,Hove,UK,50.83995400,-0.20224895,495,90,suburban,75
CCMET,Wallingford,UK,51.57740000,-1.15210000,47,250,rural,130
CLWDD,Thornton,UK,56.16793,-3.13138,49,131.1,urban,20
CRMKL,Kingston,UK,50.86629800,-0.02692300,52,1088,rural,150
DSDUB,Dublin,Ireland,53.32147400,-6.29581500,50,101.25,urban,80
EDTSC,State College,USA,40.7870000000,-77.851,332,210,suburban,30
ELCBA,Kennilworth,UK,52.34485100,-1.58039300,92,26,urban,50
ELRKL,Brighton,UK,50.85691000,-0.01396000,20,84,rural,90
ERERS,Centre Co,USA,40.7881620000,-77.858616,353,500,suburban,84
FFPGS,Freiburg,Germany ,48.04583333,7.87250000,270,120,urban,30
FHHCH,Xinyang,China,32.18428,115.00768,55,80,rural,30
FQBMM,Manchester,UK,53.44813000,-2.27774000,96,200,suburban,100
GBOIS,Edinburgh,UK,55.96213200,-3.17043400,32,72,urban,75
GICDS,Lincoln,UK,53.16990300,-0.38670000,4.6,1000,rural,80
GRAST,Edinburgh,UK,55.93390000,-3.18600000,92,96,urban,90
IBART,Tomares,Spain,37.37422,-6.05092,78,32,suburban,15
JAATR,Borkwalde,Germany ,52.25444,12.83990,85,710,rural,20
JASTO,Peterculter,UK,57.10070800,-2.27160520,64,32,suburban,45
JFLAC,Viracachá ,Colombia,5.44062400,-73.28160900,2655,130,rural,10
JMUWB,Würzburg,Germany ,49.77994000,9.97278000,268,205,suburban,30
JOKSB,Northampton,UK,52.25413000,-0.88024000,96,200,urban,136
KBNUT,Newcastle,UK,52.25417,0.88028,82,23.77,urban,10
KSPBB,Wilson,Australia,-32.01395510,115.90134630,17,370,urban,50
LBDHA,Rouiba-Algiers,Algeria,36.73805556,3.28055556,16,100,urban,NA
LJCSC,Prestwick,UK,55.49918400,-4.60033200,14,140,suburban,70
LRLEA,Northampton,UK,52.21827400,-0.90447600,99,160,urban,90
MXEER,Londerzeel,Belgium,51.01758800,4.28908700,10,1422,rural,320
NJVER,Rochefort,Belgium,50.16279,5.21654,254,400,rural,180
NOADJ,Corso,Algeria ,36.76750000,3.70277778,4,40,urban,5
PLGHH,Villingen,Germany ,48.07083900,8.47174800,778,200,urban,2
PLGOO,Villingen,Germany ,48.06515100,8.47185500,778,350,urban,12
RAQEL,Campo Mourao,Brazil,-24.04138889,-52.36305556,570,100,urban,12
RAWBW,Walhain,Belgium,50.64073039,4.67574455,140,1078,rural,308
RCDSR,Mossley,UK,53.51951700,-2.04219770,187,65,suburban,140
REMFL,Gainesville,USA,29.66000,-82.33000,54,5.161,urban,75
SALED,St Helens,UK,53.43441,-2.78533,75,400,urban,122
SCAHO,Burwood,Australia,-37.85808,145.09470,21,12,urban,7
SDLCO,Kirchdorf and der Amper,Germany ,48.46000,11.65000,440,80,rural,10
SEJAK,Kent,UK,51.35158800,0.66769300,40,80,suburban,180
SHCHL,Zhongmu,China,34.74165,113.90019,84,1000,rural,7
SPCON,Gillingham,UK,51.35034200,0.56982400,106,250,suburban,40
STHEG,Kaupanger,Norway,61.18634500,7.22393400,100,1200,rural,100
STRAF,Turin,Italy,45.04034900,7.61999400,260,370,urban,NA
SVRNG,Tomiño,Spain,41.98531,-8.76966700,3,2860,rural,NA
TAJRA,Xalapa,Mexico,19.54302,-96.93229,1447,435,urban,40
TONLA,Oxford,UK,51.76525,-1.26965,96,75,urban,150
VJBFA,Farlington,UK,50.84163300,-1.04332500,2,142,urban,56
XQIZH,Zhumadian,China,32.81677,114.02740,50.6,180,suburban,NA
ZHACH,Hubei,China,30.78255,115.39971,940,200,rural,40
